model,mpix,sensor,price,launch,overall,portrait,landscrape,sports
Canon EOS 50D,15.1,APS-C,$1300,Aug. 2008,63.0,21.8,11.4,696.0
Sony Alpha 200,10.2,APS-C,$611,Jan. 2008,63.0,22.3,11.3,521.0
Samsung NX 11,14.6,APS-C,$649,Dec. 2010,63.0,22.7,10.8,553.0
Canon EOS 1Ds,11,Full Frame,$2700,Sep. 2002,63.0,21.8,11.0,954.0
Canon EOS 500D,15.1,APS-C,$1040,Mar. 2009,63.0,21.7,11.5,663.0
Nikon D3000,12.3,APS-C,$730,Apr. 2009,62.0,22.3,11.1,563.0
Canon EOS 1100D,12.2,APS-C,$599,Feb. 2011,62.0,21.9,11.0,755.0
Canon EOS 400D,10.1,APS-C,$520,Aug. 2006,62.0,22.1,11.0,664.0
Canon EOS 650D,18,APS-C,$899,Jun. 2012,62.0,21.7,11.2,722.0
Canon EOS 20D,8.2,APS-C,$700,Aug. 2004,62.0,21.9,11.0,721.0
Samsung NX 100,14.6,APS-C,$499,Sep. 2010,62.0,22.6,10.7,563.0
Canon EOS 1000D,10.1,APS-C,$540,Jun. 2008,62.0,22.0,10.9,719.0
Canon EOS 700D,18,APS-C,$750,Mar. 2013,61.0,21.7,11.2,681.0
Panasonic Lumix DMC G5,16.05,"4/3""",$650,Jul. 2012,61.0,21.4,11.6,618.0
Nikon D80,10,APS-C,$730,Aug. 2006,61.0,22.1,11.2,524.0
Pentax K7,14.6,APS-C,$1900,May. 2009,61.0,22.6,10.6,536.0
Sony Alpha 100,10,APS-C,$427,Jun. 2006,61.0,22.0,11.2,476.0
Panasonic LUMIX DMC-G6,16.05,"4/3""",$750,Apr. 2013,61.0,21.3,11.5,639.0
Canon EOS 450D,12.2,APS-C,$570,Jan. 2008,61.0,21.9,10.8,692.0
Fujifilm FinePix S3 Pro,6.1,APS-C,$1190,Feb. 2004,60.0,20.9,13.5,346.0
Canon EOS 350D,8,APS-C,$560,Feb. 2005,60.0,21.8,10.8,637.0
Panasonic Lumix DMC GH2,16.05,"4/3""",$1100,Sep. 2010,60.0,21.2,11.3,655.0
Canon EOS 30D,8.2,APS-C,$738,Feb. 2006,59.0,21.5,10.8,736.0
Leica M8,10.3,APS-H,$5495,Sep. 2006,59.0,21.1,11.3,663.0
Nikon D2Xs,12.2,APS-C,$4250,Jun. 2006,59.0,22.2,10.9,489.0
Nikon D2X,12.2,APS-C,$2000,Sep. 2004,59.0,22.1,10.9,476.0
Konica Minolta DYNAX 5D,6,APS-C,$500,Jul. 2005,58.0,21.3,11.1,605.0
Konica Minolta DYNAX 7D,6,APS-C,$569,Sep. 2004,58.0,21.2,11.0,613.0
Canon EOS 10D,6.3,APS-C,$347,Feb. 2003,57.0,21.1,10.9,571.0
Olympus E3,10.1,"4/3""",$1300,Oct. 2007,56.0,21.6,10.5,571.0
Olympus E5,12.3,"4/3""",$1699,Sep. 2010,56.0,21.6,10.5,519.0
Nikon D40,6,APS-C,$400,Nov. 2006,56.0,21.0,11.0,561.0
Olympus E420,10,"4/3""",$520,Mar. 2008,56.0,21.5,10.4,527.0
Panasonic Lumix DMC G3,16,"4/3""",$599,May. 2011,56.0,21.0,10.6,667.0
Olympus E450,10,"4/3""",$443,Mar. 2009,56.0,21.5,10.5,512.0
Olympus PEN EP2,12.3,"4/3""",$1100,Nov. 2009,56.0,21.5,10.4,505.0
Canon EOS 300D,6.3,APS-C,$324,Aug. 2003,55.0,21.0,10.8,544.0
Panasonic Lumix DMC GX1,16,"4/3""",$699,Nov. 2011,55.0,20.8,10.6,703.0
Olympus E520,10,"4/3""",$450,May. 2008,55.0,21.4,10.4,548.0
Panasonic Lumix DMC L10,10.1,"4/3""",$964,Aug. 2007,55.0,21.3,10.8,429.0
Olympus E600,12.3,"4/3""",$490,Aug. 2009,55.0,21.5,10.3,541.0
Nikon D50,6,APS-C,$1000,Apr. 2005,55.0,20.9,10.8,560.0
Olympus PEN EPL2,12.3,"4/3""",$599,Jan. 2011,55.0,21.4,10.2,573.0
Olympus E30,12.3,"4/3""",$1689,Nov. 2008,55.0,21.3,10.4,530.0
Olympus PEN EP1,12.3,"4/3""",$1098,Jun. 2009,55.0,21.4,10.4,536.0
Olympus E620,12.3,"4/3""",$618,Feb. 2009,55.0,21.3,10.3,536.0
Olympus PEN EPL1,12.3,"4/3""",$599,Feb. 2010,54.0,21.5,10.1,487.0
Panasonic Lumix DMC GF6,16,"4/3""",$680,Apr. 2013,54.0,20.7,10.6,622.0
Panasonic Lumix DMC GF1,12.1,"4/3""",$570,Sep. 2009,54.0,21.2,10.3,513.0
Panasonic Lumix DMC GF2,12.1,"4/3""",$599,Nov. 2010,54.0,21.2,10.3,506.0
Panasonic Lumix DMC G2,12.1,"4/3""",$599,Mar. 2010,53.0,21.2,10.3,493.0
Panasonic Lumix DMC G1,12.1,"4/3""",$790,Sep. 2008,53.0,21.1,10.3,463.0
Olympus PEN EPM1,12.3,"4/3""",$499,Jun. 2011,52.0,21.0,10.3,499.0
Olympus PEN EPL3,12.3,"4/3""",$460,Jun. 2011,52.0,20.9,10.3,499.0
Olympus E510,10,"4/3""",$593,Mar. 2007,52.0,21.2,10.0,442.0
Panasonic Lumix DMC G10,12.1,"4/3""",$600,Mar. 2010,52.0,21.2,10.1,411.0
Olympus PEN EP3,12.3,"4/3""",$1000,Jun. 2011,51.0,20.8,10.1,536.0
Olympus E410,10,"4/3""",$480,Mar. 2007,51.0,21.1,10.0,494.0
